iter	Passed	Remaining
415	2616	3672
416	2621	3664
417	2627	3657
418	2632	3650
419	2637	3642
420	2643	3635
421	2649	3628
422	2654	3621
423	2660	3614
424	2666	3607
425	2671	3599
426	2677	3592
427	2682	3585
428	2688	3578
429	2693	3570
430	2699	3563
431	2705	3556
432	2710	3549
433	2715	3542
434	2721	3534
435	2726	3526
436	2731	3519
437	2737	3512
438	2742	3505
439	2748	3498
440	2754	3491
441	2760	3485
442	2766	3478
443	2772	3471
444	2777	3464
445	2783	3457
446	2788	3449
447	2793	3442
448	2799	3435
449	2805	3428
450	2811	3421
451	2816	3415
452	2822	3407
453	2828	3401
454	2833	3394
455	2839	3387
456	2845	3380
457	2850	3373
458	2856	3366
459	2862	3359
460	2867	3352
461	2873	3345
462	2878	3338
463	2884	3331
464	2890	3325
465	2895	3318
466	2900	3310
467	2906	3304
468	2912	3297
469	2918	3290
470	2924	3284
471	2929	3277
472	2935	3270
473	2941	3264
474	2947	3257
475	2952	3250
476	2958	3243
477	2964	3236
478	2969	3229
479	2975	3223
480	2981	3216
481	2986	3209
482	2992	3202
483	2997	3195
484	3003	3188
485	3008	3181
486	3014	3174
487	3019	3168
488	3024	3160
489	3030	3154
490	3035	3147
491	3041	3140
492	3047	3134
493	3053	3127
494	3060	3122
495	3067	3116
496	3073	3110
497	3079	3104
498	3085	3097
499	3090	3090
500	3096	3083
501	3101	3076
502	3107	3070
503	3112	3062
504	3118	3056
505	3123	3049
506	3129	3042
507	3134	3035
508	3139	3028
509	3145	3022
510	3150	3015
511	3156	3008
512	3161	3001
513	3167	2995
514	3173	2988
515	3179	2981
516	3184	2975
517	3190	2968
518	3196	2962
519	3201	2955
520	3209	2950
521	3223	2952
522	3233	2948
523	3241	2944
524	3247	2938
525	3255	2933
526	3261	2927
527	3267	2920
528	3272	2913
529	3278	2907
530	3283	2900
531	3288	2893
532	3294	2886
533	3300	2880
534	3306	2873
535	3312	2867
536	3318	2860
537	3323	2854
538	3329	2847
539	3335	2841
540	3340	2834
541	3346	2827
542	3351	2820
543	3357	2814
544	3362	2807
545	3368	2800
546	3374	2794
547	3379	2787
548	3385	2781
549	3390	2774
550	3396	2767
551	3402	2761
552	3408	2755
553	3414	2748
554	3419	2742
555	3425	2735
556	3431	2728
557	3437	2722
558	3443	2716
559	3449	2710
560	3455	2704
561	3461	2697
562	3466	2690
563	3472	2684
564	3477	2677
565	3482	2670
566	3490	2665
567	3496	2659
568	3501	2652
569	3507	2645
570	3513	2639
571	3518	2632
572	3524	2626
573	3530	2619
574	3535	2613
575	3541	2606
576	3547	2600
577	3553	2594
578	3559	2588
579	3566	2582
580	3572	2576
581	3578	2570
582	3584	2563
583	3590	2557
584	3595	2550
585	3601	2544
586	3607	2537
587	3612	2531
588	3618	2524
589	3623	2518
590	3629	2511
591	3635	2505
592	3640	2498
593	3645	2491
594	3651	2485
595	3657	2479
596	3662	2472
597	3668	2466
598	3674	2459
599	3679	2453
600	3685	2446
601	3691	2440
602	3697	2434
603	3703	2428
604	3709	2422
605	3715	2415
606	3721	2409
607	3726	2402
608	3732	2396
609	3738	2389
610	3743	2383
611	3749	2377
612	3754	2370
613	3760	2364
614	3766	2357
615	3771	2351
616	3777	2344
617	3783	2338
618	3788	2331
619	3794	2325
620	3799	2318
621	3805	2312
622	3810	2305
623	3815	2299
624	3821	2293
625	3827	2286
626	3832	2280
627	3838	2273
628	3843	2267
629	3849	2260
630	3856	2254
631	3862	2248
632	3868	2242
633	3873	2236
634	3879	2229
635	3884	2223
636	3890	2217
637	3895	2210
638	3901	2203
639	3906	2197
640	3912	2191
641	3917	2184
642	3923	2178
643	3928	2171
644	3934	2165
645	3940	2159
646	3945	2152
647	3951	2146
648	3956	2139
649	3962	2133
650	3967	2127
651	3973	2120
652	3979	2114
653	3984	2108
654	3990	2101
655	3996	2095
656	4001	2089
657	4006	2082
658	4012	2076
659	4018	2070
660	4024	2064
661	4031	2058
662	4036	2051
663	4041	2045
664	4047	2038
665	4052	2032
666	4058	2025
667	4063	2019
668	4069	2013
669	4074	2007
670	4080	2000
671	4086	1994
672	4091	1988
673	4097	1981
674	4103	1975
675	4108	1969
676	4114	1963
677	4120	1956
678	4125	1950
679	4130	1943
680	4136	1937
681	4141	1931
682	4147	1924
683	4153	1918
684	4158	1912
685	4164	1906
686	4170	1899
687	4175	1893
688	4182	1887
689	4187	1881
690	4193	1875
691	4199	1868
692	4204	1862
693	4210	1856
694	4216	1850
695	4221	1844
696	4227	1837
697	4233	1831
698	4238	1825
699	4244	1818
700	4249	1812
701	4255	1806
702	4260	1800
703	4266	1793
704	4271	1787
705	4277	1781
706	4282	1774
707	4288	1768
708	4293	1762
709	4299	1756
710	4305	1749
711	4310	1743
712	4315	1737
713	4321	1731
714	4327	1725
715	4333	1718
716	4339	1712
717	4344	1706
718	4350	1700
719	4355	1693
720	4361	1687
721	4367	1681
722	4372	1675
723	4378	1669
724	4384	1663
725	4390	1656
726	4395	1650
